Instituição;Instituição - Agregado;R;Total;R;Total Seleção;R;Humalog;R;Fiasp;R;Apidra;R;NovoRapid;R;Humalog 200;R;Humalog Jun;R;Lyumjev KwikPen;R;Lyumjev Junior KwikPen;R;Lyumjev
UCSP Mourão - CS Reguengos de Monsaraz;CS Reguengos de Monsaraz;51;0,4%;51;0,4%;42;0,7%;62;0,0%;54;0,2%;39;0,4%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Monforte - (Outros);CS Monforte;53;0,3%;53;0,3%;59;0,0%;62;0,0%;29;0,9%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Évora - (Outros);CS Évora;53;0,3%;53;0,3%;50;0,4%;62;0,0%;41;0,5%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Gavião - (Outros);CS Gavião;54;0,3%;54;0,3%;53;0,3%;27;0,7%;53;0,2%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Marvão - (Outros);CS Marvão;56;0,2%;56;0,2%;62;0,0%;18;1,3%;50;0,3%;46;0,1%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Estremoz - (Outros);CS Estremoz;56;0,2%;56;0,2%;44;0,6%;62;0,0%;57;0,1%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Palmela - (Outros);CS Palmela;57;0,2%;57;0,2%;54;0,2%;62;0,0%;53;0,2%;36;0,5%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Redondo - (Outros);CS Redondo;58;0,1%;58;0,1%;57;0,1%;35;0,5%;55;0,1%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
UCSP SCM Pegões - CS Montijo;CS Montijo;59;0,1%;59;0,1%;62;0,0%;62;0,0%;62;0,0%;26;0,8%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Elvas - (Outros);CS Elvas;60;0,0%;60;0,0%;56;0,1%;62;0,0%;62;0,0%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Montemor-o-Novo - (Outros);CS Montemor-o-Novo;61;0,0%;61;0,0%;59;0,0%;62;0,0%;62;0,0%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Nisa - (Outros);CS Nisa;62;0,0%;62;0,0%;62;0,0%;62;0,0%;62;0,0%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
